step_idx,stage_start,stage_len,tilt_z,baseline_z,deviation_z,max_deviation_z,moved,returned,axis_x_tilt,axis_y_tilt,axis_z_tilt
326,208,118,1.72455627,1.69959128,0.02496499,0.08019722,0,0,1.61853604,0.16111351,1.72455627
327,208,119,1.72565482,1.69959128,0.02606354,0.08019722,0,0,1.61847291,0.16214500,1.72565482
328,208,120,1.72651301,1.69959128,0.02692173,0.08019722,0,0,1.61837573,0.16293722,1.72651301
329,208,121,1.72701534,1.69959128,0.02742406,0.08019722,0,0,1.61840917,0.16342800,1.72701534
330,208,122,1.72709484,1.69959128,0.02750356,0.08019722,0,0,1.61855590,0.16354760,1.72709484
331,208,123,1.72759680,1.69959128,0.02800552,0.08019722,0,0,1.61865250,0.16405675,1.72759680
332,208,124,1.70715760,1.69959128,0.00756632,0.08019722,0,0,1.61885554,0.14468241,1.70715760
333,208,125,1.69348735,1.69959128,0.00610393,0.08019722,0,0,1.61855974,0.13174791,1.69348735
334,208,126,1.69446187,1.69959128,0.00512941,0.08019722,0,0,1.61748240,0.13226927,1.69446187
335,208,127,1.67803859,1.69959128,0.02155268,0.08019722,0,0,1.61720071,0.11692257,1.67803859
336,208,128,1.64165773,1.69959128,0.05793355,0.08019722,0,0,1.61807966,0.08523240,1.64165773
337,208,129,1.59797533,1.69959128,0.10161595,0.10161591,0,0,1.61951983,0.05580187,1.59797533
338,208,130,1.55002762,1.69959128,0.14956366,0.14956367,0,0,1.62155309,0.05484825,1.55002762
339,208,131,1.49937269,1.69959128,0.20021859,0.20021856,1,0,1.62396669,0.08909587,1.49937269
340,208,132,1.48357007,1.69959128,0.21602121,0.21602118,1,0,1.62345818,0.10195992,1.48357007
341,208,133,1.50703565,1.69959128,0.19255563,0.21602118,1,0,1.62105828,0.08123149,1.50703565
342,208,134,1.54555662,1.69959128,0.15403466,0.21602118,1,0,1.61811833,0.05364110,1.54555662
343,208,135,1.59035948,1.69959128,0.10923180,0.21602118,1,0,1.61450850,0.04789529,1.59035948
344,208,136,1.60889696,1.69959128,0.09069432,0.21602118,1,1,1.61352160,0.05726148,1.60889696
345,344,2,1.59211932,nan,nan,nan,0,0,1.61484289,0.04894240,1.59211932
346,344,3,1.56153405,nan,nan,nan,0,0,1.61628578,0.04642412,1.56153405
347,344,4,1.52317068,nan,nan,nan,0,0,1.61804498,0.06711200,1.52317068
348,344,5,1.47985753,nan,nan,nan,0,0,1.62073443,0.10381472,1.47985753
349,344,6,1.43333404,nan,nan,nan,0,0,1.62388712,0.14748011,1.43333404
350,344,7,1.42098944,nan,nan,nan,0,0,1.62370986,0.15901049,1.42098944
351,344,8,1.44764929,nan,nan,nan,0,0,1.62134678,0.13321634,1.44764929
352,344,9,1.48880912,nan,nan,nan,0,0,1.61841518,0.09486655,1.48880912
353,344,10,1.53555788,1.56153405,0.02597617,0.14054465,0,0,1.61487207,0.05644493,1.53555788
354,344,11,1.55564875,1.56153405,0.00588530,0.14054465,0,0,1.61439171,0.04615515,1.55564875
355,344,12,1.54013003,1.56153405,0.02140402,0.14054465,0,0,1.61613051,0.05474395,1.54013003
356,344,13,1.51055467,1.56153405,0.05097937,0.14054465,0,0,1.61868891,0.07699559,1.51055467
357,344,14,1.47344114,1.56153405,0.08809291,0.14054465,0,0,1.62174698,0.10995680,1.47344114
358,344,15,1.43140186,1.56153405,0.13013219,0.14054465,0,0,1.62457500,0.14953536,1.43140186
359,344,16,1.38583016,1.56153405,0.17570389,0.17570388,1,0,1.62698107,0.19350061,1.38583016
360,344,17,1.33773734,1.56153405,0.22379670,0.22379673,1,0,1.62919112,0.24052720,1.33773734
361,344,18,1.32454604,1.56153405,0.23698801,0.23698807,1,0,1.62882422,0.25327209,1.32454604
362,344,19,1.35062926,1.56153405,0.21090479,0.23698807,1,0,1.62718748,0.22750560,1.35062926
363,344,20,1.39120926,1.56153405,0.17032479,0.23698807,1,0,1.62521870,0.18782453,1.39120926
364,344,21,1.43709959,1.56153405,0.12443445,0.23698807,1,0,1.62257663,0.14348616,1.43709959
365,344,22,1.48701534,1.56153405,0.07451870,0.23698807,1,1,1.61930668,0.09686882,1.48701534
366,365,2,1.53668449,nan,nan,nan,0,0,1.61594219,0.05659814,1.53668449
367,365,3,1.58325201,nan,nan,nan,0,0,1.61301705,0.04402179,1.58325201
368,365,4,1.62606356,nan,nan,nan,0,0,1.61076240,0.06822766,1.62606356
369,365,5,1.66471068,nan,nan,nan,0,0,1.60920467,0.10150775,1.66471068
370,365,6,1.69900362,nan,nan,nan,0,0,1.60825902,0.13362661,1.69900362
371,365,7,1.72895159,nan,nan,nan,0,0,1.60779891,0.16249737,1.72895159
372,365,8,1.75471820,nan,nan,nan,0,0,1.60767231,0.18766532,1.75471820
373,365,9,1.77656561,nan,nan,nan,0,0,1.60767897,0.20914235,1.77656561
374,365,10,1.79481957,1.58325207,0.21156750,0.21156752,1,0,1.60770630,0.22714635,1.79481957
375,365,11,1.80984102,1.58325207,0.22658895,0.22658896,1,0,1.60775802,0.24199594,1.80984102
376,365,12,1.82200091,1.58325207,0.23874884,0.23874879,1,0,1.60783110,0.25403701,1.82200091
377,365,13,1.83166300,1.58325207,0.24841093,0.24841094,1,0,1.60791107,0.26361621,1.83166300
378,365,14,1.83916555,1.58325207,0.25591347,0.25591350,1,0,1.60799426,0.27106182,1.83916555
379,365,15,1.84480557,1.58325207,0.26155350,0.26155353,1,0,1.60807183,0.27666341,1.84480557
380,365,16,1.84890123,1.58325207,0.26564916,0.26564920,1,0,1.60814553,0.28073468,1.84890123
381,365,17,1.85168666,1.58325207,0.26843459,0.26843464,1,0,1.60822141,0.28350758,1.85168666
382,365,18,1.85338059,1.58325207,0.27012852,0.27012849,1,0,1.60829902,0.28519841,1.85338059
383,365,19,1.85416948,1.58325207,0.27091741,0.27091742,1,0,1.60838076,0.28599221,1.85416948
384,365,20,1.85421011,1.58325207,0.27095803,0.27095807,1,0,1.60848101,0.28604643,1.85421011
385,365,21,1.85363323,1.58325207,0.27038115,0.27095807,1,0,1.60861436,0.28549289,1.85363323
386,365,22,1.85254772,1.58325207,0.26929564,0.27095807,1,0,1.60878270,0.28444008,1.85254772
387,365,23,1.85104200,1.58325207,0.26778993,0.27095807,1,0,1.60895969,0.28297223,1.85104200
388,365,24,1.84918666,1.58325207,0.26593459,0.27095807,1,0,1.60913703,0.28115838,1.84918666
389,365,25,1.84704843,1.58325207,0.26379635,0.27095807,1,0,1.60927753,0.27905948,1.84704843
390,365,26,1.84470876,1.58325207,0.26145669,0.27095807,1,0,1.60934752,0.27675133,1.84470876
391,365,27,1.84220946,1.58325207,0.25895739,0.27095807,1,0,1.60939587,0.27428240,1.84220946
392,365,28,1.83958404,1.58325207,0.25633197,0.27095807,1,0,1.60944672,0.27168952,1.83958404
393,365,29,1.83686400,1.58325207,0.25361193,0.27095807,1,0,1.60951259,0.26900588,1.83686400
394,365,30,1.83408095,1.58325207,0.25082888,0.27095807,1,0,1.60958379,0.26626145,1.83408095
395,365,31,1.83126800,1.58325207,0.24801593,0.27095807,1,0,1.60965407,0.26348812,1.83126800
